Family,Genus,Species,volant,Position,ShiftR,PrAb,Sampling,Grain,Quality,Start
Nitidulidae,Cychramus,Cychramus luteus,n,Leading edge,4.928,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Cychramus,Cychramus variegatus,n,Leading edge,5.914,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Epuraea,Epuraea aestiva,n,Leading edge,3.158,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Epuraea,Epuraea longula,n,Leading edge,0.67,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Epuraea,Epuraea neglecta,n,Leading edge,2.967,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Epuraea,Epuraea pygmaea,n,Leading edge,6.89,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Epuraea,Epuraea terminalis,n,Leading edge,3.129,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Epuraea,Epuraea variegata,n,Leading edge,2.536,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Meligethes,Meligethes denticulatus,n,Leading edge,3.828,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Meligethes,Meligethes viridescens,n,Leading edge,-0.344,OCCUR,TWO,FINE,LOW,1902
Nitidulidae,Pityophagus,Pityophagus ferrugineus,n,Leading edge,5.608,OCCUR,TWO,FINE,LOW,1902
Oedemeridae,Ischnomera,Ischnomera sanguinicollis,n,Leading edge,3.321,OCCUR,TWO,FINE,LOW,1902
Ptiliidae,Acrotrichis,Acrotrichis intermedia,n,Leading edge,1.311,OCCUR,TWO,FINE,LOW,1902
Ptiliidae,Acrotrichis,Acrotrichis sericans,n,Leading edge,2.268,OCCUR,TWO,FINE,LOW,1902
Ptiliidae,Acrotrichis,Acrotrichis thoracica,n,Leading edge,3.426,OCCUR,TWO,FINE,LOW,1902
Ptinidae,Ptinus,Ptinus fur,n,Leading edge,0.574,OCCUR,TWO,FINE,LOW,1902
Pyrochroidae,Schizotus,Schizotus pectinicornis,n,Leading edge,-0.124,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Euoniticellus,Euoniticellus fulvus,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Euoniticellus,Euoniticellus fulvus,n,Trailing edge,7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Euoniticellus,Euoniticellus fulvus,n,Centroid,8.385,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Euoniticellus,Euoniticellus fulvus,n,Leading edge,11.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Euoniticellus,Euoniticellus fulvus,n,Centroid,19.548,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Euoniticellus,Euoniticellus fulvus,n,Leading edge,50.968,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus baraudi,n,Trailing edge,2.581,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus baraudi,n,Centroid,15.355,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus baraudi,n,Leading edge,58.71,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus coenobita,n,Centroid,-3.742,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus coenobita,n,Leading edge,5.806,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus coenobita,n,Trailing edge,10.194,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus fracticornis,n,Trailing edge,-11.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus fracticornis,n,Centroid,-10.923,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus fracticornis,n,Trailing edge,-7.097,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus fracticornis,n,Leading edge,7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus fracticornis,n,Centroid,16.71,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus fracticornis,n,Leading edge,63.548,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus furcatus,n,Leading edge,-20,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus furcatus,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus furcatus,n,Trailing edge,2.581,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus furcatus,n,Centroid,8.839,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus furcatus,n,Centroid,14.5,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus furcatus,n,Leading edge,23.077,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus grossepunctatus,n,Centroid,-13.677,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus grossepunctatus,n,Trailing edge,-4.516,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus grossepunctatus,n,Leading edge,1.935,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus joannae,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus joannae,n,Centroid,4.581,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus joannae,n,Leading edge,14.194,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus lemur,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus lemur,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus lemur,n,Centroid,4.258,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus lemur,n,Trailing edge,7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus lemur,n,Leading edge,7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus lemur,n,Centroid,14.615,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus ovatus,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus ovatus,n,Centroid,20.387,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus ovatus,n,Leading edge,47.742,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus similis,n,Trailing edge,-7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus similis,n,Centroid,5,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus similis,n,Leading edge,23.077,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus taurus,n,Leading edge,-15.806,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus taurus,n,Trailing edge,-7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus taurus,n,Centroid,-6.038,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus taurus,n,Centroid,-3.226,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus taurus,n,Trailing edge,-2.581,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus taurus,n,Leading edge,23.077,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus vacca,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus vacca,n,Trailing edge,2.581,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus vacca,n,Centroid,3.808,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus vacca,n,Leading edge,7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Onthophagus,Onthophagus vacca,n,Centroid,22.774,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus vacca,n,Leading edge,25.161,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus verticicornis,n,Leading edge,-4.516,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus verticicornis,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Onthophagus,Onthophagus verticicornis,n,Centroid,8.323,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Euonthophagus,Euonthophagus amyntas,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Euonthophagus,Euonthophagus amyntas,n,Leading edge,11.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Euonthophagus,Euonthophagus amyntas,n,Centroid,23.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Euonthophagus,Euonthophagus gibbosus,n,Trailing edge,-7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Euonthophagus,Euonthophagus gibbosus,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Euonthophagus,Euonthophagus gibbosus,n,Centroid,6.808,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Euonthophagus,Euonthophagus gibbosus,n,Leading edge,11.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Euonthophagus,Euonthophagus gibbosus,n,Centroid,15.871,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Euonthophagus,Euonthophagus gibbosus,n,Leading edge,43.226,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Melinopterus,Melinopterus prodromus,n,Leading edge,11.935,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Melinopterus,Melinopterus prodromus,n,Centroid,20.258,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Melinopterus,Melinopterus prodromus,n,Trailing edge,29.355,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Otophorus,Otophorus haemorrhoidalis,n,Centroid,-21.677,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Otophorus,Otophorus haemorrhoidalis,n,Leading edge,-11.29,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Otophorus,Otophorus haemorrhoidalis,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Phyllopertha,Phyllopertha horticola,n,Leading edge,4,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Sisyphus,Sisyphus schaefferi,n,Leading edge,-7.742,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Sisyphus,Sisyphus schaefferi,n,Trailing edge,-7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Sisyphus,Sisyphus schaefferi,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Sisyphus,Sisyphus schaefferi,n,Centroid,0.71,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Sisyphus,Sisyphus schaefferi,n,Leading edge,11.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Sisyphus,Sisyphus schaefferi,n,Centroid,14.423,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Teuchestes,Teuchestes fossor,n,Leading edge,3.871,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Teuchestes,Teuchestes fossor,n,Centroid,9.613,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Teuchestes,Teuchestes fossor,n,Trailing edge,16.129,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Trichius,Trichius fasciatus,n,Leading edge,2.172,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Aphodius,Aphodius depressus,n,Leading edge,5.1,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Aphodius,Aphodius elevatus,n,Leading edge,-7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius elevatus,n,Centroid,9.923,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius elevatus,n,Trailing edge,19.231,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius erraticus,n,Centroid,-26.129,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius erraticus,n,Trailing edge,-7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius erraticus,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius erraticus,n,Trailing edge,2.581,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius erraticus,n,Centroid,2.769,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius erraticus,n,Leading edge,11.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius fimetarius,n,Centroid,-5.29,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius fimetarius,n,Leading edge,-2.086,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Aphodius,Aphodius fimetarius,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius fimetarius,n,Trailing edge,2.581,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius fimetarius,n,Leading edge,7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius fimetarius,n,Centroid,11.077,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius fimetarius,n,Trailing edge,11.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius foetidus,n,Trailing edge,7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius foetidus,n,Leading edge,11.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius foetidus,n,Centroid,19.885,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius granarius,n,Leading edge,-0.574,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Aphodius,Aphodius granarius,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius granarius,n,Trailing edge,7.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius granarius,n,Centroid,36.692,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius luridus,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius luridus,n,Centroid,27.29,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius luridus,n,Trailing edge,31.935,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius piceus,n,Leading edge,0.574,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Aphodius,Aphodius prodromus,n,Leading edge,2.986,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Aphodius,Aphodius pusillus,n,Leading edge,1.935,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius pusillus,n,Centroid,2,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius pusillus,n,Trailing edge,14.968,ABUND,TWO,FINE,RESURVEYED,1992
Scarabaeidae,Aphodius,Aphodius rufipes,n,Leading edge,5.1,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Aphodius,Aphodius rufus,n,Leading edge,5.378,OCCUR,TWO,FINE,LOW,1902
Scarabaeidae,Aphodius,Aphodius scrofa,n,Trailing edge,-3.846,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius scrofa,n,Leading edge,11.538,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Aphodius,Aphodius scrofa,n,Centroid,19.846,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Bubas,Bubas bubalus,n,Trailing edge,23.077,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Bubas,Bubas bubalus,n,Leading edge,30.769,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Bubas,Bubas bubalus,n,Centroid,37.846,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Caccobius,Caccobius schreberi,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Caccobius,Caccobius schreberi,n,Centroid,6.385,ABUND,TWO,FINE,RESURVEYED,1981
Scarabaeidae,Caccobius,Caccobius schreberi,n,Leading edge,23.077,ABUND,TWO,FINE,RESURVEYED,1981
Scirtidae,Contacyphon,Contacyphon coarctatus,n,Leading edge,4.411,OCCUR,TWO,FINE,LOW,1902
Scirtidae,Contacyphon,Contacyphon variabilis,n,Leading edge,3.646,OCCUR,TWO,FINE,LOW,1902
Scirtidae,Elodes,Elodes marginata,n,Leading edge,1.981,OCCUR,TWO,FINE,LOW,1902
Scraptiidae,Anaspis,Anaspis frontalis,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Scraptiidae,Anaspis,Anaspis rufilabris,n,Leading edge,6.89,OCCUR,TWO,FINE,LOW,1902
Silphidae,Nicrophorus,Nicrophorus vespillo,n,Leading edge,0.383,OCCUR,TWO,FINE,LOW,1902
Silphidae,Nicrophorus,Nicrophorus vespilloides,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Silphidae,Oiceoptoma,Oiceoptoma thoracicum,n,Leading edge,5.742,OCCUR,TWO,FINE,LOW,1902
Silphidae,Thanatophilus,Thanatophilus rugosus,n,Leading edge,4.488,OCCUR,TWO,FINE,LOW,1902
Sphaeritidae,Sphaerites,Sphaerites glabratus,n,Leading edge,-1.799,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Acidota,Acidota cruentata,n,Leading edge,3.407,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Aleochara,Aleochara lanuginosa,n,Leading edge,3.397,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Amischa,Amischa analis,n,Leading edge,0.287,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Amphichroum,Amphichroum canaliculatum,n,Leading edge,2.584,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Anotylus,Anotylus rugosus,n,Leading edge,5.923,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Anotylus,Anotylus tetracarinatus,n,Leading edge,5.923,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Anthobium,Anthobium melanocephalum,n,Leading edge,3.541,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Anthophagus,Anthophagus alpestris,n,Leading edge,-0.287,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Anthophagus,Anthophagus omalinus,n,Leading edge,-0.287,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta coriaria,n,Leading edge,-1.99,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta crassicornis,n,Leading edge,3.541,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta fungi,n,Leading edge,-0.967,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta gagatina,n,Leading edge,2.718,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta laevana,n,Leading edge,3.952,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta longicornis,n,Leading edge,4.459,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta myrmecobia,n,Leading edge,3.656,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta pallidicornis,n,Leading edge,1.148,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta picipes,n,Leading edge,-6.287,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Atheta,Atheta sodalis,n,Leading edge,4,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Bibloporus,Bibloporus bicolor,n,Leading edge,4.153,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Bryaxis,Bryaxis nodicornis,n,Leading edge,2.354,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Eusphalerum,Eusphalerum alpinum,n,Leading edge,2.938,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Eusphalerum,Eusphalerum florale,n,Leading edge,4.115,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Eusphalerum,Eusphalerum limbatum,n,Leading edge,4.268,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Eusphalerum,Eusphalerum longipenne,n,Leading edge,6.392,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Eusphalerum,Eusphalerum stramineum,n,Leading edge,6.89,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Gabrius,Gabrius splendidulus,n,Leading edge,0.019,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Gyrophaena,Gyrophaena boleti,n,Leading edge,5.914,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Gyrophaena,Gyrophaena manca,n,Leading edge,4.373,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Haploglossa,Haploglossa villosula,n,Leading edge,0.67,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Lathrobium,Lathrobium fulvipenne,n,Leading edge,-0.421,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Liogluta,Liogluta alpestris,n,Leading edge,-1.589,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Lordithon,Lordithon exoletus,n,Leading edge,0.124,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Lordithon,Lordithon lunulatus,n,Leading edge,1.311,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Lordithon,Lordithon trimaculatus,n,Leading edge,1.713,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Megarthrus,Megarthrus depressus,n,Leading edge,3.828,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Micropeplus,Micropeplus porcatus,n,Leading edge,4.364,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Mycetoporus,Mycetoporus solidicornis,n,Leading edge,0.574,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Notothecta,Notothecta flavipes,n,Leading edge,-2.689,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Nudobius,Nudobius lentus,n,Leading edge,5.933,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Ocypus,Ocypus aeneocephalus,n,Leading edge,4.603,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Omalium,Omalium caesum,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Omalium,Omalium rivulare,n,Leading edge,4.115,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Othius,Othius subuliformis,n,Leading edge,1.55,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Oxypoda,Oxypoda alternans,n,Leading edge,2.201,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Oxypoda,Oxypoda annularis,n,Leading edge,1.856,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Oxyporus,Oxyporus maxillosus,n,Leading edge,0.593,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Philonthus,Philonthus carbonarius,n,Leading edge,1.1,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Philonthus,Philonthus cognatus,n,Leading edge,2.105,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Philonthus,Philonthus fimetarius,n,Leading edge,2.191,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Philonthus,Philonthus punctatellus,n,Leading edge,-0.287,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Philonthus,Philonthus varians,n,Leading edge,6.057,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Phloeonomus,Phloeonomus pusillus,n,Leading edge,1.053,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Phloeostiba,Phloeostiba plana,n,Leading edge,-0.201,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Platystethus,Platystethus arenarius,n,Leading edge,0.306,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Plectophloeus,Plectophloeus fischeri,n,Leading edge,4.45,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Proteinus,Proteinus brachypterus,n,Leading edge,6.507,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Quedius,Quedius alpestris,n,Leading edge,-0.287,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Quedius,Quedius cinctus,n,Leading edge,6.89,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Quedius,Quedius fuliginosus,n,Leading edge,6.699,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Quedius,Quedius mesomelinus,n,Leading edge,2.737,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Quedius,Quedius scintillans,n,Leading edge,4.565,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Rugilus,Rugilus erichsoni,n,Leading edge,4.756,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Rugilus,Rugilus rufipes,n,Leading edge,3.923,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Scaphisoma,Scaphisoma subalpinum,n,Leading edge,3.608,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Stenus,Stenus bifoveolatus,n,Leading edge,4.612,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Stenus,Stenus clavicornis,n,Leading edge,4.536,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Stenus,Stenus impressus,n,Leading edge,6.258,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Tachinus,Tachinus laticollis,n,Leading edge,2.89,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Tachinus,Tachinus pallipes,n,Leading edge,2.268,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Tachinus,Tachinus proximus,n,Leading edge,5.11,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Tachyporus,Tachyporus chrysomelinus,n,Leading edge,4.804,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Tachyporus,Tachyporus hypnorum,n,Leading edge,5.78,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Tachyporus,Tachyporus ruficollis,n,Leading edge,0.029,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Dinaraea,Dinaraea angustula,n,Leading edge,-2.995,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Dinothenarus,Dinothenarus fossor,n,Leading edge,1.598,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Domene,Domene scabricollis,n,Leading edge,2.584,OCCUR,TWO,FINE,LOW,1902
Staphylinidae,Geostiba,Geostiba circellaris,n,Leading edge,4.134,OCCUR,TWO,FINE,LOW,1902
